Lito,Depth,BVTX,AVTX,RxoRt,CILD,RLL3,SP,RILD,RILM,DCAL,RHOB,RHOC,DPOR,CNLS,GR,MCAL,MI,MN,DT,ITT,SPOR
NA,219.5000,0.0000,0.0000,136.8365,41.5027,0.4809,-14.7888,24.0948,100000.0000,1.3090,2.2038,0.2676,29.6021,41.4390,64.0924,-999.2500,-999.2500,-999.2500,128.4995,1.0000,57.2132
NA,220.0000,0.0000,0.0000,112.9861,50.5599,0.6296,-21.7786,19.7785,100000.0000,1.6463,2.1783,0.2486,31.0936,42.8139,65.8795,-999.2500,-999.2500,-999.2500,145.0570,0.0000,68.9229
NA,220.5000,0.0000,0.0000,94.6033,51.6311,1.2775,-29.5681,19.3682,100000.0000,4.2513,2.1437,0.2252,33.1184,40.6718,68.4772,-999.2500,-999.2500,-999.2500,166.3446,0.0000,83.9778
NA,221.0000,0.0000,0.0000,82.3544,47.9839,2.5184,-37.3526,20.8403,177.0732,8.7717,2.1337,0.2077,33.6995,38.6246,73.7782,-999.2500,-999.2500,-999.2500,189.5470,0.0000,100.3869
NA,221.5000,0.0000,0.0000,63.0601,59.1796,3.7379,-44.3486,16.8977,34.2274,11.3604,2.1552,0.1949,32.4469,39.1393,80.7725,-999.2500,-999.2500,-999.2500,207.9646,0.0000,113.4120
NA,222.0000,0.0000,0.0000,28.2955,120.0316,4.4762,-50.0840,8.3311,17.5596,12.4859,2.1908,0.1784,30.3597,40.0775,82.6492,-999.2500,-999.2500,-999.2500,215.5804,0.0000,118.7980
NA,222.5000,0.0000,0.0000,2.6725,209.0239,4.7817,-54.4934,4.7841,13.4335,12.9111,2.2177,0.1526,28.7879,37.4172,80.4068,-999.2500,-999.2500,-999.2500,211.3165,0.0000,115.7825
NA,223.0000,0.0000,0.0000,-1.6545,223.0451,4.8214,-57.8170,4.4834,14.1900,12.9550,2.2235,0.1211,28.4478,32.4285,78.1485,-999.2500,-999.2500,-999.2500,199.3966,0.0000,107.3526
NA,223.5000,0.0000,0.0000,13.6359,148.5609,4.7790,-60.4199,6.7312,19.0519,12.9198,2.2136,0.0942,29.0302,30.4153,74.3349,-999.2500,-999.2500,-999.2500,185.9677,0.0000,97.8555
NA,224.0000,0.0000,0.0000,40.9856,73.6107,4.7468,-62.6313,13.5850,24.7758,12.8710,2.2012,0.0793,29.7557,32.9069,70.1760,-999.2500,-999.2500,-999.2500,175.2330,0.0000,90.2638
NA,224.5000,0.0000,0.0000,69.2228,35.7600,4.7459,-64.6565,27.9642,20.8691,12.8454,2.1941,0.0747,30.1704,36.8714,69.0112,-999.2500,-999.2500,-999.2500,168.1199,1.0000,85.2333
NA,225.0000,0.0000,0.0000,72.3543,33.0155,4.7587,-66.5597,30.2888,13.1523,12.8573,2.1927,0.0746,30.2495,39.1254,69.1724,-999.2500,-999.2500,-999.2500,163.6624,1.0000,82.0809
NA,225.5000,0.0000,0.0000,44.9682,66.5670,4.7652,-68.3004,15.0225,8.5898,12.9003,2.1946,0.0749,30.1401,39.7193,69.0234,-999.2500,-999.2500,-999.2500,160.8778,0.0000,80.1116
NA,226.0000,0.0000,0.0000,22.5114,118.5629,4.7674,-69.7954,8.4343,6.3625,12.9514,2.1941,0.0733,30.1685,40.1015,69.1803,-999.2500,-999.2500,-999.2500,159.3245,0.0000,79.0131
NA,226.5000,0.0000,0.0000,11.9722,156.2746,4.7514,-70.9777,6.3990,5.2920,12.8874,2.1778,0.0674,31.1223,40.1395,70.3004,-999.2500,-999.2500,-999.2500,158.7525,0.0000,78.6085
NA,227.0000,0.0000,0.0000,8.8003,171.3262,4.6826,-71.8336,5.8368,4.7890,12.6373,2.1255,0.0562,34.1810,39.5636,72.8857,-999.2500,-999.2500,-999.2500,158.9334,0.0000,78.7365
NA,227.5000,0.0000,0.0000,8.5148,174.7868,4.6034,-72.4147,5.7213,4.5814,12.4666,2.0342,0.0448,39.5177,39.8757,76.4643,-999.2500,-999.2500,-999.2500,159.6666,0.0000,79.2551
NA,228.0000,0.0000,0.0000,8.7065,175.3725,4.4877,-72.8289,5.7021,4.5480,12.1788,1.9414,0.0445,44.9490,40.9245,78.4803,-999.2500,-999.2500,-999.2500,160.6274,0.0000,79.9345
NA,228.5000,0.0000,0.0000,8.2290,176.7324,4.4130,-73.2080,5.6583,4.6269,11.2730,1.8949,0.0581,47.6687,40.8756,78.9416,-999.2500,-999.2500,-999.2500,161.2775,0.0000,80.3943
NA,229.0000,0.0000,0.0000,6.9111,179.0650,4.5440,-73.6634,5.5846,4.7570,10.4183,1.9137,0.0752,46.5660,39.8685,79.3290,-999.2500,-999.2500,-999.2500,161.1165,0.0000,80.2804
NA,229.5000,0.0000,0.0000,5.4388,180.4807,4.8967,-74.2491,5.5408,4.8670,9.5895,1.9863,0.0859,42.3217,38.9304,80.2602,-999.2500,-999.2500,-999.2500,160.0419,0.0000,79.5204
NA,230.0000,0.0000,0.0000,4.4782,180.0538,5.1020,-74.9570,5.5539,4.9111,8.7714,2.0808,0.0893,36.7962,38.1061,82.6905,-999.2500,-999.2500,-999.2500,158.4382,0.0000,78.3863
NA,230.5000,0.0000,0.0000,4.1192,178.6094,5.0684,-75.7430,5.5988,4.8963,8.5421,2.1578,0.0888,32.2942,37.4982,85.4550,-999.2500,-999.2500,-999.2500,156.9354,0.0000,77.3235
NA,231.0000,0.0000,0.0000,4.1317,177.0595,5.0824,-76.5558,5.6478,4.8589,8.5290,2.1966,0.0863,30.0216,37.6866,86.1272,-999.2500,-999.2500,-999.2500,156.0294,1.0000,76.6828
NA,231.5000,0.0000,0.0000,4.3418,175.6797,5.1325,-77.3479,5.6922,4.8258,8.5292,2.2061,0.0823,29.4706,38.4784,85.6196,-999.2500,-999.2500,-999.2500,155.8074,0.0000,76.5257
NA,232.0000,0.0000,0.0000,4.6622,174.7305,5.1280,-78.0663,5.7231,4.8072,8.5290,2.2030,0.0779,29.6488,39.0073,86.3991,-999.2500,-999.2500,-999.2500,156.0027,0.0000,76.6639
NA,232.5000,0.0000,0.0000,5.0627,174.2857,5.0842,-78.6501,5.7377,4.8100,8.5283,2.1986,0.0748,29.9060,39.5719,87.9378,-999.2500,-999.2500,-999.2500,156.2870,0.0000,76.8649
NA,233.0000,0.0000,0.0000,5.5040,173.7975,4.9865,-79.0470,5.7538,4.8457,8.5282,2.1992,0.0751,29.8734,40.8048,88.8781,-999.2500,-999.2500,-999.2500,156.4542,0.0000,76.9832
NA,233.5000,0.0000,0.0000,5.7235,172.9194,4.7981,-79.2420,5.7830,4.9221,8.5281,2.2074,0.0793,29.3935,41.2515,89.3808,-999.2500,-999.2500,-999.2500,156.4144,0.0000,76.9550
NA,234.0000,0.0000,0.0000,5.3888,171.9400,4.9024,-79.2723,5.8160,5.0310,8.5278,2.2206,0.0848,28.6224,40.1514,90.2285,-999.2500,-999.2500,-999.2500,156.1636,0.0000,76.7777
NA,234.5000,0.0000,0.0000,4.5791,171.0164,5.2466,-79.2083,5.8474,5.1490,8.5275,2.2322,0.0879,27.9404,39.0783,92.9167,-999.2500,-999.2500,-999.2500,155.7605,0.0000,76.4926
NA,235.0000,0.0000,0.0000,3.7366,170.0390,5.4375,-79.1148,5.8810,5.2508,8.5275,2.2377,0.0871,27.6217,39.0517,96.6246,-999.2500,-999.2500,-999.2500,155.2674,0.0000,76.1439
NA,235.5000,0.0000,0.0000,3.2300,168.9444,5.5364,-79.0212,5.9191,5.3222,8.5276,2.2379,0.0844,27.6076,40.3622,97.6565,-999.2500,-999.2500,-999.2500,154.7266,0.0000,75.7614
NA,236.0000,0.0000,0.0000,3.1956,167.5968,5.5697,-78.9273,5.9667,5.3613,8.5284,2.2372,0.0831,27.6472,42.3444,96.8154,-999.2500,-999.2500,-999.2500,154.2024,0.0000,75.3907
NA,236.5000,1.0000,0.0000,3.5416,166.0089,5.5256,-78.8261,6.0238,5.3716,8.5287,2.2378,0.0847,27.6135,43.0466,93.9341,-999.2500,-999.2500,-999.2500,153.8040,0.0000,75.1089
NA,237.0000,0.0000,0.0000,3.9827,164.6294,5.4687,-78.7237,6.0742,5.3591,8.5282,2.2380,0.0878,27.6034,42.5872,89.4830,-999.2500,-999.2500,-999.2500,153.6292,1.0000,74.9853
NA,237.5000,0.0000,0.0000,4.2051,163.9125,5.4351,-78.6503,6.1008,5.3321,8.5279,2.2353,0.0908,27.7610,43.2172,87.6718,-999.2500,-999.2500,-999.2500,153.6936,1.0000,75.0309
NA,238.0000,0.0000,0.0000,3.9989,163.9402,5.4282,-78.6767,6.0998,5.3002,8.5275,2.2300,0.0929,28.0724,43.4965,86.6468,-999.2500,-999.2500,-999.2500,153.9175,0.0000,75.1892
NA,238.5000,0.0000,0.0000,3.2801,164.5457,5.4823,-78.9310,6.0773,5.2723,8.5211,2.2251,0.0941,28.3549,40.7941,84.7018,-999.2500,-999.2500,-999.2500,154.1712,0.0000,75.3686
NA,239.0000,0.0000,0.0000,2.1516,165.3825,5.6586,-79.5765,6.0466,5.2549,8.4978,2.2239,0.0941,28.4276,37.4581,84.4344,-999.2500,-999.2500,-999.2500,154.3387,0.0000,75.4870
NA,239.5000,0.0000,0.0000,0.9052,166.0098,5.9243,-80.7215,6.0237,5.2518,8.4825,2.2268,0.0927,28.2583,36.9391,85.3752,-999.2500,-999.2500,-999.2500,154.3649,0.0000,75.5056
NA,240.0000,0.0000,0.0000,-0.1608,166.1558,6.1302,-82.2950,6.0184,5.2649,8.4799,2.2323,0.0905,27.9366,38.8947,87.3733,-999.2500,-999.2500,-999.2500,154.2595,0.0000,75.4310
NA,240.5000,0.0000,0.0000,-0.9274,165.8183,6.1875,-83.9951,6.0307,5.2926,8.4799,2.2387,0.0884,27.5587,40.4321,91.7763,-999.2500,-999.2500,-999.2500,154.0663,0.0000,75.2944
