	transportmean_name	line_number	order_number	stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	stop_url	location_type	parent_station	stop_timezone	wheelchair_boarding	metro_linked	ml_linked	cr_linked	accesible	parking
62	METRO	10	10_21	par_4_10	10	Tribunal	Calle de Fuencarral 81	40.4261967446581	-3.7010116898124803	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_10.aspx	0	est_4_10		0	1	No	No	No	No
63	METRO	10	10_14	par_4_261	261	Chamartín	Calle de Agustín de Foxá 40	40.4720366992766	-3.68249582773816	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_261.aspx	0	est_4_261		2	1	No	C-1/C-2/C-3/C-4/C-7/C-8/C-10	Yes	Yes
64	METRO	11	11_7	par_4_305	305	La Fortuna	Calle   San José 40	40.3579677238597	-3.7777354135329904		http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_305.aspx	0	est_4_305		0	No	No	No	Yes	No
65	METRO	11	11_6	par_4_256	256	La Peseta	Calle de Salvador Allende 3	40.3642326917246	-3.75680788168332	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_256.aspx	0	est_4_256		2	No	No	No	Yes	No
66	METRO	11	11_5	par_4_255	255	Carabanchel Alto	Avda de Carabanchel Alto 40	40.372012977219896	-3.7518181673738997	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_255.aspx	0	est_4_255		2	No	No	No	Yes	No
67	METRO	11	11_4	par_4_254	254	San Francisco	Avda de los Poblados 102	40.373609059953395	-3.73900826605771	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_254.aspx	0	est_4_254		2	No	No	No	Yes	No
68	METRO	11	11_3	par_4_208	208	Pan Bendito	Avda de Abrantes 289	40.3758747196832	-3.7340737735019	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_208.aspx	0	est_4_208		2	No	No	No	Yes	No
69	METRO	11	11_2	par_4_207	207	Abrantes	Avda de Abrantes 77	40.3808422099026	-3.72781331723895	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_207.aspx	0	est_4_207		2	No	No	No	Yes	No
70	METRO	11	11_1	par_4_108	108	Plaza Elíptica	Plaza de Fernández Ladreda 2	40.3846135488641	-3.71827578486577	A	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_108.aspx	0	est_4_108		2	6	No	No	Yes	No
71	METRO	12	12_20	par_4_228	228	El Casar	Avda del Casar 2	40.318638881392296	-3.7097610118111604	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_228.aspx	0	est_4_228		2	No	No	C-3	Yes	No
72	METRO	12	12_21	par_4_229	229	Los Espartales	Avda   Rigoberta Menchú 3	40.32423607115	-3.71810621449902	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_229.aspx	0	est_4_229		2	No	No	No	Yes	No
73	METRO	12	12_22	par_4_230	230	El Bercial	Avda   Comandante José Manuel Ripollés 4	40.329083472571504	-3.72954067740215	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_230.aspx	0	est_4_230		2	No	No	No	Yes	No
74	METRO	12	12_2	par_4_210	210	Parque Lisboa	Calle de Porto Lagos 7	40.3496949916395	-3.8211022534012997	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_210.aspx	0	est_4_210		2	No	No	No	Yes	No
75	METRO	12	12_24	par_4_232	232	Julian Besteiro	Avda   Rey Juan Carlos I 23 A	40.3347557812105	-3.75256996413693	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_232.aspx	0	est_4_232		2	No	No	No	Yes	No
