Date,Open,High,Low,Close,Adj Close,Volume
2003-06-30,1484.699951,1539.359985,1470.390015,1476.739990,1476.739990,0
2003-07-31,1476.969971,1494.359985,1415.689941,1421.979980,1421.979980,0
2003-08-31,1449.819946,1449.819946,1355.329956,1367.160034,1367.160034,0
2003-09-30,1367.160034,1404.010010,1344.630005,1348.300049,1348.300049,0
2003-10-31,1364.060059,1411.910034,1316.560059,1397.219971,1397.219971,0
2003-11-30,1432.699951,1514.780029,1432.699951,1497.040039,1497.040039,0
2003-12-31,1497.040039,1628.839966,1497.040039,1590.729980,1590.729980,0
2004-01-31,1623.880005,1721.750000,1623.880005,1675.069946,1675.069946,0
2004-02-29,1689.760010,1755.689941,1637.099976,1741.619995,1741.619995,0
2004-03-31,1758.150024,1777.520020,1579.449951,1595.589966,1595.589966,0
2004-04-30,1595.589966,1603.770020,1518.050049,1555.910034,1555.910034,0
2004-05-31,1579.660034,1579.660034,1385.180054,1399.160034,1399.160034,0
2004-06-30,1441.069946,1457.540039,1384.130005,1386.199951,1386.199951,0
2004-07-31,1373.219971,1404.510010,1319.410034,1342.060059,1342.060059,0
2004-08-31,1321.459961,1464.780029,1260.319946,1396.699951,1396.699951,0
2004-09-30,1396.699951,1422.930054,1310.550049,1320.540039,1320.540039,0
2004-10-31,1305.290039,1383.020020,1301.530029,1340.770020,1340.770020,0
2004-11-30,1334.939941,1339.640015,1266.500000,1266.500000,1266.500000,0
2004-12-31,1266.500000,1266.500000,1191.819946,1191.819946,1191.819946,0
2005-01-31,1188.930054,1312.439941,1188.930054,1306.000000,1306.000000,0
2005-02-28,1303.410034,1318.270020,1172.569946,1181.239990,1181.239990,0
2005-03-31,1223.569946,1248.520020,1148.760010,1159.150024,1159.150024,0
2005-04-30,1159.150024,1159.150024,1051.949951,1060.739990,1060.739990,0
2005-05-31,1039.189941,1131.050049,1013.640015,1080.939941,1080.939941,0
2005-06-30,1055.589966,1089.910034,1011.500000,1083.030029,1083.030029,0
2005-07-31,1088.949951,1192.829956,1088.949951,1162.800049,1162.800049,0
2005-08-31,1184.930054,1220.630005,1131.770020,1155.609985,1155.609985,0
2005-09-30,1155.609985,1161.849976,1080.869995,1092.819946,1092.819946,0
2005-10-31,1089.949951,1119.939941,1087.510010,1099.260010,1099.260010,0
2005-11-30,1098.750000,1169.859985,1079.199951,1161.060059,1161.060059,0
2005-12-31,1161.060059,1258.050049,1161.060059,1258.050049,1258.050049,0
2006-01-31,1258.050049,1299.170044,1258.050049,1299.030029,1299.030029,0
2006-02-28,1306.589966,1306.589966,1245.170044,1298.300049,1298.300049,0
2006-03-31,1319.469971,1440.219971,1319.469971,1440.219971,1440.219971,0
2006-04-30,1440.219971,1664.089966,1440.219971,1641.300049,1641.300049,0
2006-05-31,1684.189941,1684.619995,1531.329956,1672.209961,1672.209961,0
2006-06-30,1697.280029,1745.810059,1612.729980,1612.729980,1612.729980,0
2006-07-31,1600.609985,1658.640015,1547.439941,1658.640015,1658.640015,0
2006-08-31,1636.689941,1752.420044,1636.689941,1752.420044,1752.420044,0
2006-09-30,1752.420044,1837.989990,1752.420044,1837.989990,1837.989990,0
2006-10-31,1855.709961,2099.290039,1851.310059,2099.290039,2099.290039,0
2006-11-30,2102.050049,2675.469971,2093.639893,2675.469971,2675.469971,0
2006-12-31,2715.719971,2975.129883,2641.330078,2786.330078,2786.330078,0
2007-01-31,2785.429932,3040.600098,2612.540039,2881.070068,2881.070068,0
2007-02-28,2797.189941,3197.540039,2785.310059,3183.979980,3183.979980,0
2007-03-31,3252.590088,3841.270020,3252.590088,3841.270020,3841.270020,0
2007-04-30,3950.010010,4334.919922,3899.179932,4109.649902,4109.649902,0
2007-05-31,4000.739990,4269.520020,3670.399902,3820.699951,3820.699951,0
2007-06-30,3836.290039,4471.029785,3615.870117,4471.029785,4471.029785,0
2007-07-31,4300.560059,5218.830078,4300.560059,5218.830078,5218.830078,0
2007-08-31,5321.060059,5552.299805,5113.970215,5552.299805,5552.299805,0
2007-09-30,5692.750000,6092.060059,5562.390137,5954.770020,5954.770020,0
2007-10-31,5914.290039,5914.290039,4803.390137,4871.779785,4871.779785,0
2007-11-30,4868.609863,5308.890137,4836.169922,5261.560059,5261.560059,0
2007-12-31,5272.810059,5497.899902,4383.390137,4383.390137,4383.390137,0
2008-01-31,4320.770020,4672.169922,4192.529785,4348.540039,4348.540039,0
2008-02-29,4438.270020,4438.270020,3411.489990,3472.709961,3472.709961,0
2008-03-31,3329.159912,3693.110107,3094.669922,3693.110107,3693.110107,0
2008-04-30,3761.010010,3761.010010,3364.540039,3433.350098,3433.350098,0
2008-05-31,3459.040039,3459.040039,2736.100098,2736.100098,2736.100098,0
2008-06-30,2651.600098,2920.550049,2651.600098,2775.719971,2775.719971,0
2008-07-31,2801.820068,2801.820068,2319.870117,2397.370117,2397.370117,0
2008-08-31,2325.139893,2325.139893,1895.839966,2293.780029,2293.780029,0
