stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_10_11,11,PRADO DE LA VEGA,Ctra   M-502 (Carabanchel) 1200,40.4023050819669,-3.78112083656754,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_12,12,COLONIA DE LOS ANGELES,Ctra   M-502 (Carabanchel) 1900,40.4072203704496,-3.78431250539841,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_13,13,PRADO DEL REY,Avda   Radio y Televisión 4,40.410478694507,-3.78739104247461,B1,http://www.crtm.es,0,,Europe/Madrid,2
est_10_14,14,SOMOSAGUAS SUR,Calle   Veritas 4,40.4153721190565,-3.79243379439747,B1,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_14_808,14,Somosaguas Sur,Calle  Veritas 1,40.4149959657264,-3.79253297264068,,http://www.crtm.es,2,est_10_14,,0
acc_10_14_809,14,Ascensor,Calle  Veritas 1,40.4156775816383,-3.79254720573711,,http://www.crtm.es,2,est_10_14,,0
par_10_15,15,SOMOSAGUAS CENTRO,Ctra   Carabanchel (M-502) 36,40.4193743757613,-3.79864548241651,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_16,16,POZUELO OESTE,Ctra   Carabanchel (M-502) 63,40.4230823013736,-3.80438288554524,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_18,18,BELGICA,Via de las Dos Castillas 5,40.4305923174205,-3.80745503233822,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_19,19,DOS CASTILLAS,Via de las Dos Castillas 11 D,40.4325434710534,-3.80152465535664,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_20,20,CAMPUS DE SOMOSAGUAS,Avda del Cerro SN,40.4333892401783,-3.79515647725654,B1,http://www.crtm.es,0,,Europe/Madrid,2
est_10_21,21,AVENIDA DE EUROPA,Avda   Comunidad de Madrid 3,40.4393141366797,-3.79296246485784,B1,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_21_810,21,Avenida de Europa,Avda  Comunidad de Madrid 3,40.4391516722973,-3.79300030232476,,http://www.crtm.es,2,est_10_21,,0
acc_10_21_811,21,Ascensor,Avda  Comunidad de Madrid 3,40.4395372888957,-3.79291615527182,,http://www.crtm.es,2,est_10_21,,0
est_10_22,22,BERNA,Calle   Plutón 1,40.4448763236969,-3.79110578375431,B1,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_22_812,22,Berna,Calle  Plutón 1,40.4447671855855,-3.7910682918718,,http://www.crtm.es,2,est_10_22,,0
acc_10_22_813,22,Ascensor,Calle  Plutón 1,40.4446098763289,-3.79106644753094,,http://www.crtm.es,2,est_10_22,,0
par_10_23,23,ESTACION DE ARAVACA,Calle de la Golondrina 104,40.4483357732024,-3.78581622755961,A,http://www.crtm.es,0,,Europe/Madrid,2
par_10_10,10,COLONIA JARDIN,Calle de Arenas de San Pedro 2,40.3969894844388,-3.77447250975779,A,http://www.crtm.es,0,est_10_10,,2
par_10_14,14,SOMOSAGUAS SUR,Calle   Veritas 4,40.4153721190565,-3.79243379439747,B1,http://www.crtm.es,0,est_10_14,,2
par_10_21,21,AVENIDA DE EUROPA,Avda   Comunidad de Madrid 3,40.4393141366797,-3.79296246485784,B1,http://www.crtm.es,0,est_10_21,,2
par_10_22,22,BERNA,Calle   Plutón 1,40.4448763236969,-3.79110578375431,B1,http://www.crtm.es,0,est_10_22,,2
par_10_24,24,COLONIA JARDIN,Calle de Arenas de San Pedro 2,40.3969898790262,-3.77441359754956,A,http://www.crtm.es,0,est_10_10,,2
par_10_25,25,CIUDAD DE LA IMAGEN,Calle   Juan de Orduña 4,40.3970971204062,-3.78390043315878,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_26,26,JOSE ISBERT,Calle   José Isbert 2,40.3952639101088,-3.78984138962409,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_27,27,CIUDAD DEL CINE,Calle   José Isbert 20,40.394558612874,-3.79547716361047,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_28,28,RETAMARES,Ctra   Boadilla-Carabanchel (M-511) SN,40.3987262595916,-3.81665427270027,B1,http://www.crtm.es,0,,Europe/Madrid,2
est_10_29,29,MONTEPRINCIPE,Avda del Montepríncipe 1,40.397932443089,-3.83571036122649,B1,http://www.crtm.es,1,,Europe/Madrid,2
acc_10_29_738,29,Ascensor,Avda del Montepríncipe 1,40.3977764196796,-3.83582597188188,,http://www.crtm.es,2,est_10_29,,0
acc_10_29_739,29,Montepríncipe,Avda del Montepríncipe 1,40.3978796036056,-3.83573059993656,,http://www.crtm.es,2,est_10_29,,0
par_10_30,30,VENTORRO DEL CANO,Avda del Tranvía SN,40.3942130506999,-3.83802093983274,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_31,31,PRADO DEL ESPINO,Calle   Labradores 1,40.3950257655849,-3.84764592070794,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_32,32,CANTABRIA,Avda de Cantabria 3,40.3952988767495,-3.8642987423139,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_33,33,FERIAL DE BOADILLA,Ctra de Boadilla-Villaviciosa 13 A,40.4019695431789,-3.87929102923328,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_34,34,BOADILLA CENTRO,Ctra de Boadilla-Majadahonda 40,40.4071446638255,-3.87994763161887,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_35,35,NUEVO MUNDO,Avda del Nuevo Mundo 6 B,40.4056505581518,-3.88566737217457,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_36,36,SIGLO XXI,Avda del Siglo XXI 1,40.405138231147,-3.89254292808721,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_37,37,INFANTE DON LUIS,Avda del Siglo XXI 11,40.405957139042,-3.89731482604528,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_38,38,PUERTA DE BOADILLA,Avda   Siglo XXI SN,40.4077813229577,-3.90369125901715,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_39,39,COCHERAS,Ctra de Boadilla del Monte 90,40.3968886687878,-3.80376469204415,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_29,29,MONTEPRINCIPE,Avda del Montepríncipe 1,40.397932443089,-3.83571036122649,B1,http://www.crtm.es,0,est_10_29,,2
par_10_50,50,PLAZA DE TOROS,Calle   Desconocida SN,40.2441101028853,-3.7574670712039,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_51,51,JULIO ROMERO DE TORRES,Calle   Julio Romero de Torres 2,40.2453581284575,-3.76223081620563,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_52,52,LA BALLENA,Calle   Real 94,40.2459982061463,-3.76625893189452,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_53,53,PARLA CENTRO - BULEVAR NORTE,Calle  Real 81,40.2408057932177,-3.7694451030376,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_54,54,IGLESIA CENTRO,Calle   Real 28,40.2377176869276,-3.77049166664552,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_55,55,BULEVAR SUR,Calle   San Antón 4,40.2347418203974,-3.77226823186137,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_56,56,REYES CATOLICOS,Calle   Reyes Católicos 37,40.2314241743714,-3.76990313394975,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_57,57,ISABEL II,Calle   Reyes Católicos 73,40.2311504635075,-3.76498663162076,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_58,58,PARQUE PARLA ESTE,Calle del paraguay 16,40.2281741809284,-3.76137991670491,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_59,59,AVENIDA SISTEMA SOLAR,Avda del Sistema Solar 9,40.2234403194468,-3.76062172048455,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_60,60,TIERRA NORTE,Avda de las Estrellas 34,40.2219613183945,-3.75396475182327,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_61,61,TIERRA SUR,Avda de los Planetas 31,40.2225564148953,-3.75665104972083,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_62,62,VENUS NORTE,Avda de las Estrellas 20,40.2262778165812,-3.75241410590826,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_63,63,VENUS SUR,Avda de los Planetas 32,40.2268457681485,-3.75512376771519,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_64,64,ESTRELLA POLAR NORTE,Avda de las Estrellas 25,40.2301608137658,-3.75102304112269,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_65,65,ESTRELLA POLAR SUR,Avda de los Planetas 9,40.2307287962176,-3.75373284707759,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_66,66,JAIME I NORTE,Avda de las Estrellas 5,40.2341521242391,-3.74959774997782,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_67,67,JAIME I SUR,Avda de los Planetas 6,40.2347111297787,-3.75230760446693,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_10_68,68,POLIGONO INDUSTRIAL CIUDAD DE PARLA,Calle   Berlín 52,40.2386788584258,-3.750353023281,B2,http://www.crtm.es,0,,Europe/Madrid,2
