shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5__10____1__IT_1,40.5608379379796,-3.91335221073304,3000050,304.510293998643
5__10____1__IT_1,40.560837602713,-3.91284668896733,3000051,308.611453575905
5__10____1__IT_1,40.560893967892,-3.9123277581595,3000052,312.756991467443
5__10____1__IT_1,40.5611767470449,-3.91081525900964,3000053,317.034375449652
5__10____1__IT_1,40.5615932852827,-3.90857145875399,3000054,321.507274631371
5__10____1__IT_1,40.5617798426983,-3.90745788512864,3000055,326.076700502484
5__10____1__IT_1,40.5618316838347,-3.90706208140421,3000056,330.680126952012
5__10____1__IT_1,40.561860454992,-3.9066347832095,3000057,335.319870519861
5__10____1__IT_1,40.5618609270707,-3.90603346405232,3000058,340.010523661318
5__10____1__IT_1,40.5618186035436,-3.90550078844916,3000059,344.746518861801
5__10____1__IT_1,40.5617451673491,-3.90511551197637,3000060,349.516136077435
5__10____1__IT_1,40.5616267380996,-3.90444277438817,3000061,354.344207099349
5__10____1__IT_1,40.5614152360981,-3.90372543377863,3000062,359.237391130677
5__10____1__IT_1,40.5613074738867,-3.90340137218844,3000063,364.160505991469
5__10____1__IT_1,40.5611245043286,-3.90295439024036,3000064,369.12657043825
5__10____1__IT_1,40.5608015509561,-3.90234173096299,3000065,374.155689091605
5__10____1__IT_1,40.5605756546427,-3.90197205841069,3000066,379.224912868089
5__10____1__IT_1,40.5602728227259,-3.90157804226207,3000067,384.341496727441
5__10____1__IT_1,40.5600458285661,-3.90131359273037,3000068,389.491789202869
5__10____1__IT_1,40.5598268446389,-3.90109923007839,3000069,394.672418788114
5__10____1__IT_1,40.5596720265541,-3.90095903232359,3000070,399.873935393939
5__10____1__IT_1,40.5590485254303,-3.90050886163573,3000071,405.154467264372
5__10____1__IT_1,40.5586370223006,-3.90025744256148,3000072,410.485396444991
5__10____1__IT_1,40.5582240905841,-3.90003893910012,3000073,415.865757662315
5__10____1__IT_1,40.5551304238877,-3.8984676801993,3000074,421.614415145461
5__10____1__IT_1,40.5522074447153,-3.89698522078162,3000075,427.710986158758
5__10____1__IT_1,40.5522102057592,-3.89698337400242,3000076,433.80790126215
5__10____1__IT_1,40.5522102057592,-3.89698337400242,4000001,433.80790126215
5__10____1__IT_1,40.55180410652,-3.89676410847031,4000002,433.856655908973
5__10____1__IT_1,40.5498648322536,-3.89579219974089,4000003,434.135883907356
5__10____1__IT_1,40.5494547137477,-3.89557077034403,4000004,434.464349110867
5__10____1__IT_1,40.5464220277591,-3.89404311058545,4000005,435.153471403604
5__10____1__IT_1,40.544484507714,-3.89307372715817,4000006,436.07281088943
5__10____1__IT_1,40.5431686747242,-3.89240611678971,4000007,437.148780461356
5__10____1__IT_1,40.5421359502408,-3.89184235580352,4000008,438.348936691483
5__10____1__IT_1,40.5390921792807,-3.89030216326249,4000009,439.911284263121
5__10____1__IT_1,40.536061080379,-3.88875643103454,4000010,441.834682934363
5__10____1__IT_1,40.5329217989354,-3.88718099497735,4000011,444.131244275059
5__10____1__IT_1,40.5308188226798,-3.88611355167176,4000012,446.678152499471
5__10____1__IT_1,40.5298953389415,-3.88564148992375,4000013,449.335097958105
5__10____1__IT_1,40.5286468503857,-3.88506826308514,4000014,452.138896503401
5__10____1__IT_1,40.5271479842997,-3.88428697156986,4000015,455.121761466846
5__10____1__IT_1,40.5267765557024,-3.8840945686483,4000016,458.148962650666
5__10____1__IT_1,40.5258657531148,-3.88361117628769,4000017,461.28524819238
5__10____1__IT_1,40.5256025070101,-3.88347838638176,4000018,464.452846617973
5__10____1__IT_1,40.5247955358407,-3.88319372942583,4000019,467.713214891265
5__10____1__IT_1,40.5245557267916,-3.88307188317396,4000020,471.002135109114
5__10____1__IT_1,40.5241687981844,-3.88286377516961,4000021,474.33748491595
5__10____1__IT_1,40.5237367509665,-3.88263321210088,4000022,477.724620290784
5__10____1__IT_1,40.5224286282536,-3.88199855976381,4000023,481.266602089929
5__10____1__IT_1,40.5224286282536,-3.88199855976381,5000001,481.266602089929
5__10____1__IT_1,40.5214086773003,-3.88148023174762,5000002,481.388042091653
5__10____1__IT_1,40.5185808997269,-3.88003146044378,5000003,481.846531707552
5__10____1__IT_1,40.5183111469826,-3.87982518689445,5000004,482.339692319578
5__10____1__IT_1,40.518199969381,-3.87975869193651,5000005,482.846419515955
5__10____1__IT_1,40.5180839545443,-3.8796893024074,5000006,483.367303620568
5__10____1__IT_1,40.5178959420349,-3.87957105321458,5000007,483.91133852847
5__10____1__IT_1,40.5173255894815,-3.8792808325728,5000008,484.523294160018
5__10____1__IT_1,40.5164172823596,-3.8788060572377,5000009,485.243806763819
5__10____1__IT_1,40.5157359161859,-3.87848108177099,5000010,486.044812164547
5__10____1__IT_1,40.5146140670116,-3.87790427733107,5000011,486.97959765902
5__10____1__IT_1,40.5135740841155,-3.877375408642,5000012,488.038220961414
5__10____1__IT_1,40.5120996886778,-3.87661135588034,5000013,489.272851950197
5__10____1__IT_1,40.509859015993,-3.87544856578544,5000014,490.775017941734
5__10____1__IT_1,40.5087073558577,-3.87487147653454,5000015,492.414059927306
5__10____1__IT_1,40.5063531746813,-3.87413827069848,5000016,494.321719569523
5__10____1__IT_1,40.5061530817219,-3.87403663694286,5000017,496.253202259131
5__10____1__IT_1,40.5059285843038,-3.87396668363042,5000018,498.210301324547
5__10____1__IT_1,40.5055538879955,-3.87377785672127,5000019,500.211966140919
5__10____1__IT_1,40.5051901574606,-3.87360154370809,5000020,502.256683456433
5__10____1__IT_1,40.5048709259665,-3.87343676230986,5000021,504.339489748775
5__10____1__IT_1,40.5045268921778,-3.8732351539983,5000022,506.464133459336
5__10____1__IT_1,40.5041438747544,-3.87302939253817,5000023,508.634731388807
5__10____1__IT_1,40.5036771812578,-3.87283349792581,5000024,510.859730646642
5__10____1__IT_1,40.5029156155094,-3.8725680750082,5000025,513.1722109065
5__10____1__IT_1,40.5027488407059,-3.87251115046199,5000026,515.503822686925
5__10____1__IT_1,40.5024152335388,-3.87240460685447,5000027,517.873552351225
5__10____1__IT_1,40.5020398021741,-3.8723011751725,5000028,520.285869779629
5__10____1__IT_1,40.5015797305334,-3.87220523157558,5000029,522.749902202099
5__10____1__IT_1,40.5009639997108,-3.8720013327537,5000030,525.284436074437
5__10____1__IT_1,40.5004758189651,-3.87183115260927,5000031,527.875048175462
5__10____1__IT_1,40.4998221831102,-3.87160539563409,5000032,530.540699087608
5__10____1__IT_1,40.4992689877413,-3.87140232014119,5000033,533.270125101309
5__10____1__IT_1,40.4988055972682,-3.87118972128067,5000034,536.054055083712
5__10____1__IT_1,40.4985375460348,-3.87103664426099,5000035,538.870445712631
5__10____1__IT_1,40.4983561247406,-3.87093456043256,5000036,541.708755034357
5__10____1__IT_1,40.4980366798091,-3.87074520281546,5000037,544.58598719652
5__10____1__IT_1,40.4976795984244,-3.87049836575718,5000038,547.508039110259
5__10____1__IT_1,40.4973523450412,-3.87026260212026,5000039,550.471550606527
5__10____1__IT_1,40.4965736206774,-3.86967549897642,5000040,553.534802627493
5__10____1__IT_1,40.4958786178534,-3.86916428861403,5000041,556.686537205727
5__10____1__IT_1,40.4950403905666,-3.86853369803871,5000042,559.945576095624
5__10____1__IT_1,40.4946590733845,-3.86825451680144,5000043,563.253107925372
5__10____1__IT_1,40.4942479801608,-3.86795714395471,5000044,566.612770907813
5__10____1__IT_1,40.4942479801608,-3.86795714395471,6000001,566.612770907813
5__10____1__IT_1,40.4929486519754,-3.86695833265569,6000002,566.780011386245
5__10____1__IT_1,40.4908747045737,-3.86542974443916,6000003,567.211423555287
5__10____1__IT_1,40.4906240446729,-3.86524910246177,6000004,567.674594799283
5__10____1__IT_1,40.4904453980981,-3.86512715159713,6000005,568.160129044454
5__10____1__IT_1,40.4898316398233,-3.86463652562666,6000006,568.725482237746
5__10____1__IT_1,40.4893059806363,-3.86415941744975,6000007,569.361829357289
